Run1:
Estimate of Posterior Sizes:
Marginal Association Size:
0: 0.800, 1: 0.181, 2: 0.018, 3: 0.001, 4: 0.000, 5: 0.000, 
Interaction Association Size:
0: 0.000, 2: 0.000, 3: 1.000, 
Metropolis-Hastings Acceptance Rates:
burnin: 0.024,	move0= 0.000,	move1= 0.087,	move2= 0.000,	
---------------------------------------------------
826 :	 B-stat = 14.997512	 P = 0.553773
789 :	 B-stat = 0.015629	 P = 1.000000
886 :	 B-stat = 2.077899	 P = 1.000000
788 :	 B-stat = 1.595504	 P = 1.000000
640 :	 B-stat = 6.661639	 P = 1.000000
939 :	 B-stat = 2.603525	 P = 1.000000
442 :	 B-stat = 6.140531	 P = 1.000000
438 :	 B-stat = 3.480192	 P = 1.000000
419 :	 B-stat = 6.815854	 P = 1.000000
754 :	 B-stat = 7.195813	 P = 1.000000
390 :	 B-stat = 4.893728	 P = 1.000000
542 :	 B-stat = 4.097563	 P = 1.000000
326 :	 B-stat = 2.147990	 P = 1.000000
321 :	 B-stat = 1.135969	 P = 1.000000
314 :	 B-stat = 1.164673	 P = 1.000000
313 :	 B-stat = 3.252889	 P = 1.000000
931 :	 B-stat = 7.077526	 P = 1.000000
282 :	 B-stat = 2.359945	 P = 1.000000
270 :	 B-stat = 3.226094	 P = 1.000000
263 :	 B-stat = 4.748554	 P = 1.000000
577 :	 B-stat = 2.262273	 P = 1.000000
825 :	 B-stat = 1.735415	 P = 1.000000
925 :	 B-stat = 1.194679	 P = 1.000000
636 :	 B-stat = 1.337205	 P = 1.000000
234 :	 B-stat = 1.287753	 P = 1.000000
224 :	 B-stat = 0.614591	 P = 1.000000
220 :	 B-stat = 2.130384	 P = 1.000000
218 :	 B-stat = 4.290748	 P = 1.000000
505 :	 B-stat = 3.879090	 P = 1.000000
208 :	 B-stat = 5.105971	 P = 1.000000
198 :	 B-stat = 6.680756	 P = 1.000000
183 :	 B-stat = 1.624351	 P = 1.000000
147 :	 B-stat = 3.945195	 P = 1.000000
133 :	 B-stat = 7.821679	 P = 1.000000
127 :	 B-stat = 1.031395	 P = 1.000000
249 :	 B-stat = 5.581883	 P = 1.000000
777 :	 B-stat = 3.604198	 P = 1.000000
109 :	 B-stat = 2.439318	 P = 1.000000
715 :	 B-stat = 0.049508	 P = 1.000000
93 :	 B-stat = 3.661158	 P = 1.000000
981 :	 B-stat = 7.768352	 P = 1.000000
82 :	 B-stat = 4.094413	 P = 1.000000
64 :	 B-stat = 3.483498	 P = 1.000000
53 :	 B-stat = 1.658249	 P = 1.000000
50 :	 B-stat = 7.469354	 P = 1.000000
39 :	 B-stat = 4.948414	 P = 1.000000
27 :	 B-stat = 1.391494	 P = 1.000000
775 :	 B-stat = 5.210021	 P = 1.000000
114 :	 B-stat = 10.083040	 P = 1.000000
952 :	 B-stat = 3.561414	 P = 1.000000
30, 20 :	 B-stat = 33.889419	 P = 1.000000
30, 10 :	 B-stat = 35.233981	 P = 1.000000
20, 10 :	 B-stat = 46.382679	 P = 0.100410
(10, 20), 30 :	 B-stat = 74.626591	 P = 1.000000
